as_of_date,level
2016-03-31,-490.64
2016-06-30,1276.74
2016-09-30,3857.16
2016-12-31,5510.20
2017-03-31,9346.00
2017-06-30,12184.98
2017-09-30,15369.44
2017-12-31,18571.96
2018-03-31,17423.01
2018-06-30,20005.30
2018-09-30,23569.68
2018-12-31,13036.87
2019-03-31,22459.11
2019-06-30,25465.67
2019-09-30,27479.67
2019-12-31,34218.72
2020-03-31,6120.48
2020-06-30,20254.79
2020-09-30,29893.98
2020-12-31,45532.72
2021-03-31,55898.69
2021-06-30,64414.90
2021-09-30,62874.36
2021-12-31,72761.65
2022-03-31,64284.20
2022-06-30,46803.37
2022-09-30,34904.98
2022-12-31,52509.92
2023-03-31,55560.70
2023-06-30,61587.05
2023-09-30,57898.55
2023-12-31,78775.81
2024-03-31,92955.64
2024-06-30,95427.74
2024-09-30,114667.19
2024-12-31,118544.21
