as_of_date,level
2016-03-31,-34952.66
2016-06-30,-9934.10
2016-09-30,-16632.57
2016-12-31,-20594.80
2017-03-31,-39.13
2017-06-30,8794.43
2017-09-30,17532.53
2017-12-31,1672.46
2018-03-31,-11586.16
2018-06-30,-10238.72
2018-09-30,-5056.29
2018-12-31,-38644.52
2019-03-31,-9058.89
2019-06-30,-379.53
2019-09-30,6317.39
2019-12-31,20403.82
2020-03-31,-39182.43
2020-06-30,10084.93
2020-09-30,28531.44
2020-12-31,55673.15
2021-03-31,73857.54
2021-06-30,99656.29
2021-09-30,77872.25
2021-12-31,108855.28
2022-03-31,87874.33
2022-06-30,-75456.28
2022-09-30,-171589.48
2022-12-31,-73805.68
2023-03-31,-11004.51
2023-06-30,69738.31
2023-09-30,36354.68
2023-12-31,106477.15
2024-03-31,170899.21
2024-06-30,196216.61
2024-09-30,257343.55
2024-12-31,256957.69
