as_of_date,target
1998-03-20,0.00
1998-12-31,29436.00
1999-12-31,51950.03
2000-12-31,49151.96
2001-12-31,60249.04
2002-12-31,63126.86
2003-12-31,89013.63
2004-12-31,1027.85
2005-12-31,1198.68
2006-12-31,103433.38
2007-12-31,209002.80
2008-12-31,191450.91
2009-12-31,258467.01
2010-12-31,434194.82
2011-12-31,281922.02
2012-12-31,466470.05
2013-12-31,586817.83
2014-12-31,719821.95
2015-12-31,670808.13
2016-12-31,733288.25
2017-12-31,575743.37
2018-12-31,349691.82
2019-12-31,642513.72
2020-12-31,383389.13
2021-12-31,874742.02
2022-12-31,997171.99
