as_of_date,target
2013-03-05,0.00
2016-03-31,58235.23
2016-06-30,59972.65
2016-09-30,62553.21
2016-12-31,64206.47
2017-03-31,73542.86
2017-06-30,76382.36
2017-09-30,79567.60
2017-12-31,82771.01
2018-03-31,88124.18
2018-06-30,90731.22
2018-09-30,94324.34
2018-12-31,83822.33
2019-03-31,99768.08
2019-06-30,102806.00
2019-09-30,104848.53
2019-12-31,111609.19
2020-03-31,83523.62
2020-06-30,104574.02
2020-09-30,109352.92
2020-12-31,124991.74
2021-03-31,142357.78
2021-06-30,150874.15
2021-09-30,149333.65
2021-12-31,159220.63
2022-03-31,157743.22
2022-06-30,143264.54
2022-09-30,131369.73
2022-12-31,148978.42
2023-03-31,156035.42
2023-06-30,162067.11
2023-09-30,158384.38
2023-12-31,179267.58
2024-03-31,193453.35
2024-06-30,203513.40
2024-09-30,222753.58
2024-12-31,226631.25
2025-03-31,233764.30
2025-06-30,254378.05
2025-09-30,263281.33
2025-12-31,271080.66
