index,FX,GrowthPct,IncomePct,ExpensePct,BaseValue,MarketValue,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - Dividend,Bank Fees,Tax
2024,1,0,0,0,150000,226778,0,0,0,0,0,0,0
2025,1,6,3,0,150000,240384.68,13606.68,0,0,0,7007.4402,0,-1751.86005
2026,1,6,3,0,150000,254807.7608,14423.0808,0,0,0,7427.886611999999,0,-1856.9716529999998
2027,1,5,3,0,150000,267548.14884,12740.38804,0,0,0,7835.3386445999995,0,-1958.8346611499999
2028,1,4,3,0,150000,278250.07479359995,10701.925953599999,0,0,0,8186.973354503999,0,-2046.7433386259997
2029,1,4,3,0,150000,289380.077785344,11130.002991743999,0,0,0,8514.452288684159,0,-2128.6130721710397
2030,1,4,3,0,150000,300955.28089675773,11575.203111413759,0,0,0,8855.030380231527,0,-2213.7575950578816
2031,1,4,3,0,150000,312993.49213262805,12038.211235870309,0,0,0,9209.231595440788,0,-2302.307898860197
2032,1,4,3,0,150000,325513.23181793315,12519.739685305121,0,0,0,9577.600859258417,0,-2394.400214814604
2033,1,4,3,0,150000,338533.76109065046,13020.529272717326,0,0,0,9960.704893628754,0,-2490.1762234071884
2034,1,4,3,0,150000,352075.11153427645,13541.35044362602,0,0,0,10359.133089373905,0,-2589.7832723434763
2035,1,4,3,0,150000,366158.1159956475,14083.004461371058,0,0,0,10773.498412948858,0,-2693.3746032372146
2036,1,4,3,0,150000,380804.4406354734,14646.3246398259,0,0,0,11204.438349466813,0,-2801.109587366703
2037,1,4,3,0,150000,396036.61826089234,15232.177625418937,0,0,0,11652.615883445489,0,-2913.1539708613723
2038,1,4,3,0,150000,411878.08299132803,15841.464730435693,0,0,0,12118.720518783308,0,-3029.680129695827
2039,1,4,3,0,150000,428353.2063109811,16475.12331965312,0,0,0,12603.469339534638,0,-3150.8673348836596
2040,1,4,3,0,150000,445487.3345634204,17134.128252439245,0,0,0,13107.608113116024,0,-3276.902028279006
2041,1,4,3,0,150000,463306.8279459572,17819.493382536817,0,0,0,13631.912437640663,0,-3407.978109410166
2042,1,4,3,0,150000,481839.1010637955,18532.27311783829,0,0,0,14177.18893514629,0,-3544.2972337865726
2043,1,4,3,0,150000,501112.6651063473,19273.56404255182,0,0,0,14744.276492552142,0,-3686.0691231380356
2044,1,4,3,0,150000,521157.1717106012,20044.506604253893,0,0,0,15334.047552254227,0,-3833.511888063557
2045,1,4,3,0,150000,542003.4585790252,20846.28686842405,0,0,0,15947.409454344395,0,-3986.852363586099
2046,1,4,3,0,150000,563683.5969221862,21680.13834316101,0,0,0,16585.30583251817,0,-4146.3264581295425
2047,1,4,3,0,150000,586230.9407990737,22547.343876887448,0,0,0,17248.7180658189,0,-4312.179516454725
2048,1,4,3,0,150000,609680.1784310366,23449.237631962947,0,0,0,17938.666788451654,0,-4484.666697112913
2049,1,4,3,0,150000,634067.3855682781,24387.207137241465,0,0,0,18656.21345998972,0,-4664.05336499743
2050,1,4,3,0,150000,659430.0809910093,25362.695422731125,0,0,0,19402.461998389314,0,-4850.615499597328
2051,1,4,3,0,150000,685807.2842306496,26377.20323964037,0,0,0,20178.560478324882,0,-5044.6401195812205
2052,1,4,3,0,150000,713239.5755998755,27432.291369225983,0,0,0,20985.702897457883,0,-5246.425724364471
2053,1,4,3,0,150000,741769.1586238706,28529.583023995023,0,0,0,21825.131013356196,0,-5456.282753339049
2054,1,4,3,0,150000,771439.9249688254,29670.766344954824,0,0,0,22698.136253890443,0,-5674.534063472611
