index,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
Bank Accounts,0,5255.58015,5570.914959,5876.503983449999,6140.230015877999,6385.839216513119,6641.272785173645,6906.92369658059,7183.200644443812,7470.528670221565,7769.349817030428,8080.123809711644,8403.328762100109,8739.461912584116,9089.04038908748,9452.602004650978,9830.706084837018,10223.934328230498,10632.891701359718,11058.207369414107,11500.535664190671,11960.557090758297,12438.979374388628,12936.538549364173,13454.000091338741,13992.16009499229,14551.846498791985,15133.92035874366,15739.277173093411,16368.848260017148,17023.602190417834,17704.54627803454,18412.728129155927,19149.237254322165,19915.206744495048,20711.81501427485,21540.287614845845,22401.89911943968,23297.97508421727,24229.894087585955,25199.089851089397,26207.053445132977,27255.335582938296,28345.549006255824,29479.37096650606,30658.545805166308,31884.887637372958,33160.28314286788,34486.69446858259,35866.1622473259,37300.80873721893,38792.8410867077
Transfer - Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidelity Fixed Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidelity Stock,226778,240384.68,254807.7608,267548.14884,278250.07479359995,289380.077785344,300955.28089675773,312993.49213262805,325513.23181793315,338533.76109065046,352075.11153427645,366158.1159956475,380804.4406354734,396036.61826089234,411878.08299132803,428353.2063109811,445487.3345634204,463306.8279459572,481839.1010637955,501112.6651063473,521157.1717106012,542003.4585790252,563683.5969221862,586230.9407990737,609680.1784310366,634067.3855682781,659430.0809910093,685807.2842306496,713239.5755998755,741769.1586238706,771439.9249688254,802297.5219675784,834389.4228462816,867764.9997601329,902475.5997505381,938574.6237405597,976117.6086901821,1015162.3130377894,1055768.805559301,1097999.557781673,1141919.54009294,1187596.3216966577,1235100.174564524,1284504.181547105,1335884.3488089894,1389319.722761349,1444892.511671803,1502688.2121386752,1562795.7406242222,1625307.570249191,1690319.8730591587,1757932.667981525
Financial Income - BC Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Income - UB Dividend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Option Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Income - Dividend,0,7007.4402,7427.886611999999,7835.3386445999995,8186.973354503999,8514.452288684159,8855.030380231527,9209.231595440788,9577.600859258417,9960.704893628754,10359.133089373905,10773.498412948858,11204.438349466813,11652.615883445489,12118.720518783308,12603.469339534638,13107.608113116024,13631.912437640663,14177.18893514629,14744.276492552142,15334.047552254227,15947.409454344395,16585.30583251817,17248.7180658189,17938.666788451654,18656.21345998972,19402.461998389314,20178.560478324882,20985.702897457883,21825.131013356196,22698.136253890443,23606.061704046057,24550.3041722079,25532.316339096218,26553.608992660065,27615.753352366468,28720.383486461127,29869.19882591957,31063.966778956357,32306.52545011461,33598.78646811919,34942.73792684397,36340.44744391773,37794.06534167443,39305.82795534141,40878.06107355508,42513.18351649728,44213.710857157166,45982.25929144345,47821.5496631012,49734.411649625246,51723.78811561026
Bank Fees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxes US,0,-1751.86005,-1856.9716529999998,-1958.8346611499999,-2046.7433386259997,-2128.6130721710397,-2213.7575950578816,-2302.307898860197,-2394.400214814604,-2490.1762234071884,-2589.7832723434763,-2693.3746032372146,-2801.109587366703,-2913.1539708613723,-3029.680129695827,-3150.8673348836596,-3276.902028279006,-3407.978109410166,-3544.2972337865726,-3686.0691231380356,-3833.511888063557,-3986.852363586099,-4146.3264581295425,-4312.179516454725,-4484.666697112913,-4664.05336499743,-4850.615499597328,-5044.6401195812205,-5246.425724364471,-5456.282753339049,-5674.534063472611,-5901.515426011514,-6137.576043051975,-6383.0790847740545,-6638.402248165016,-6903.938338091617,-7180.095871615282,-7467.299706479893,-7765.991694739089,-8076.631362528652,-8399.696617029798,-8735.684481710992,-9085.111860979432,-9448.516335418608,-9826.456988835353,-10219.51526838877,-10628.29587912432,-11053.427714289292,-11495.564822860862,-11955.3874157753,-12433.602912406312,-12930.947028902565
