index,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
Bank Accounts,0,3227.7000000000003,3324.531,3415.832775,3492.5835854999996,3562.4352572099997,3633.6839623542,3706.357641601283,3780.4847944333096,3856.094490321975,3933.216380128415,4011.880707730984,4092.118321885604,4173.9606883233155,4257.439902089783,4342.588700131579,4429.44047413421,4518.029283616895,4608.389869289232,4700.557666675017,4794.568820008517,4890.460196408687,4988.2694003368615,5088.034788343599,5189.79548411047,5293.59139379268,5399.463221668533,5507.452486101905,5617.601535823943,5729.953566540421,5844.552637871229,5961.443690628654,6080.672564441227,6202.286015730052,6326.331736044653,6452.858370765547,6581.915538180858,6713.553848944475,6847.8249259233635,6984.781424441831,7124.477052930668,7266.966593989282,7412.305925869066,7560.552044386448,7711.763085274178,7865.998346979661,8023.318313919254,8183.784680197639,8347.460373801592,8514.409581277625,8684.697772903179,8858.39172836124
Transfer - Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidelity Fixed Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidelity Stock,53000,54590,56227.7,57633.392499999994,58786.06034999999,59961.781556999995,61161.017188139995,62384.23753190279,63631.92228254085,64904.56072819167,66202.6519427555,67526.70498161062,68877.23908124283,70254.7838628677,71659.87954012505,73093.07713092756,74554.93867354612,76046.03744701704,77566.95819595737,79118.29735987652,80700.66330707405,82314.67657321553,83960.97010467984,85640.18950677344,87352.99329690891,89100.05316284709,90882.05422610404,92699.69531062612,94553.68921683864,96444.76300117541,98373.65826119891,100341.13142642289,102347.95405495135,104394.91313605038,106482.81139877139,108612.46762674682,110784.71697928176,113000.4113188674,115260.41954524475,117565.62793614964,119916.94049487263,122315.27930477008,124761.58489086549,127256.81658868279,129801.95292045645,132397.99197886558,135045.9518184429,137746.87085481177,140501.808271908,143311.84443734615,146178.0813260931,149101.64295261496
Financial Income - BC Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Income - UB Dividend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Option Trade,0,4303.6,4432.708,4554.4437,4656.778114,4749.91367628,4844.9119498056,4941.810188801711,5040.646392577746,5141.4593204293005,5244.288506837886,5349.174276974645,5456.157762514139,5565.280917764421,5676.58653611971,5790.118266842104,5905.920632178946,6024.039044822526,6144.519825718976,6267.410222233356,6392.758426678022,6520.613595211583,6651.025867115815,6784.046384458132,6919.727312147294,7058.12185839024,7199.2842955580445,7343.269981469207,7490.13538109859,7639.938088720562,7792.736850494973,7948.591587504872,8107.56341925497,8269.71468764007,8435.10898139287,8603.811161020729,8775.887384241143,8951.405131925967,9130.433234564485,9313.041899255775,9499.30273724089,9689.28879198571,9883.074567825422,10080.73605918193,10282.35078036557,10487.99779597288,10697.757751892339,10911.712906930186,11129.94716506879,11352.546108370167,11579.59703053757,11811.188971148322
Financial Income - Dividend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bank Fees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxes US,0,-1075.9,-1108.177,-1138.610925,-1164.1945285,-1187.47841907,-1211.2279874514,-1235.4525472004277,-1260.1615981444365,-1285.3648301073251,-1311.0721267094716,-1337.2935692436613,-1364.0394406285347,-1391.3202294411053,-1419.1466340299276,-1447.529566710526,-1476.4801580447365,-1506.0097612056315,-1536.129956429744,-1566.852555558339,-1598.1896066695056,-1630.1533988028957,-1662.7564667789538,-1696.011596114533,-1729.9318280368234,-1764.53046459756,-1799.8210738895111,-1835.8174953673017,-1872.5338452746475,-1909.9845221801404,-1948.1842126237432,-1987.147896876218,-2026.8908548137424,-2067.4286719100173,-2108.7772453482175,-2150.952790255182,-2193.9718460602858,-2237.8512829814917,-2282.6083086411213,-2328.260474813944,-2374.8256843102226,-2422.3221979964273,-2470.7686419563556,-2520.1840147954827,-2570.5876950913926,-2621.99944899322,-2674.4394379730848,-2727.9282267325466,-2782.4867912671975,-2838.1365270925417,-2894.8992576343926,-2952.7972427870804
