index,FX,GrowthPct,IncomePct,ExpensePct,BaseValue,MarketValue,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - Dividend,Bank Fees,Tax
2024,1,0,0,0,550000,890000,0,0,0,0,0,0,0
2025,1,6,2.5,0,550000,943400,53400,0,0,0,22917.5,0,-5729.375
2026,1,6,2.5,0,550000,1000004,56604,0,0,0,24292.55,0,-6073.1375
2027,1,5,2.5,0,550000,1050004.2,50000.200000000004,0,0,0,25625.1025,0,-6406.275625
2028,1,4,2.5,0,550000,1092004.368,42000.168,0,0,0,26775.1071,0,-6693.776775
2029,1,4,2.5,0,550000,1135684.54272,43680.17472,0,0,0,27846.111384,0,-6961.527846
2030,1,4,2.5,0,550000,1181111.9244288001,45427.3817088,0,0,0,28959.955839360002,0,-7239.9889598400005
2031,1,4,2.5,0,550000,1228356.4014059522,47244.47697715201,0,0,0,30118.3540729344,0,-7529.5885182336
2032,1,4,2.5,0,550000,1277490.6574621904,49134.25605623809,0,0,0,31323.08823585179,0,-7830.772058962947
2033,1,4,2.5,0,550000,1328590.283760678,51099.626298487616,0,0,0,32576.011765285857,0,-8144.002941321464
2034,1,4,2.5,0,550000,1381733.8951111052,53143.61135042712,0,0,0,33879.052235897296,0,-8469.763058974324
2035,1,4,2.5,0,550000,1437003.2509155495,55269.35580444421,0,0,0,35234.21432533318,0,-8808.553581333295
2036,1,4,2.5,0,550000,1494483.3809521715,57480.13003662198,0,0,0,36643.58289834651,0,-9160.895724586628
2037,1,4,2.5,0,550000,1554262.7161902583,59779.33523808686,0,0,0,38109.32621428037,0,-9527.331553570093
2038,1,4,2.5,0,550000,1616433.2248378687,62170.50864761033,0,0,0,39633.69926285159,0,-9908.424815712897
2039,1,4,2.5,0,550000,1681090.5538313834,64657.32899351475,0,0,0,41219.04723336565,0,-10304.761808341413
2040,1,4,2.5,0,550000,1748334.1759846387,67243.62215325533,0,0,0,42867.80912270028,0,-10716.95228067507
2041,1,4,2.5,0,550000,1818267.5430240242,69933.36703938556,0,0,0,44582.52148760828,0,-11145.63037190207
2042,1,4,2.5,0,550000,1890998.2447449851,72730.70172096098,0,0,0,46365.82234711261,0,-11591.455586778153
2043,1,4,2.5,0,550000,1966638.1745347846,75639.92978979941,0,0,0,48220.45524099712,0,-12055.11381024928
2044,1,4,2.5,0,550000,2045303.701516176,78665.52698139139,0,0,0,50149.27345063701,0,-12537.318362659253
2045,1,4,2.5,0,550000,2127115.849576823,81812.14806064704,0,0,0,52155.24438866248,0,-13038.81109716562
2046,1,4,2.5,0,550000,2212200.483559896,85084.63398307293,0,0,0,54241.45416420898,0,-13560.363541052246
2047,1,4,2.5,0,550000,2300688.5029022917,88488.01934239583,0,0,0,56411.11233077734,0,-14102.778082694334
2048,1,4,2.5,0,550000,2392716.0430183834,92027.54011609167,0,0,0,58667.55682400845,0,-14666.889206002112
2049,1,4,2.5,0,550000,2488424.684739119,95708.64172073534,0,0,0,61014.25909696878,0,-15253.564774242195
2050,1,4,2.5,0,550000,2587961.672128684,99536.98738956476,0,0,0,63454.82946084755,0,-15863.707365211887
2051,1,4,2.5,0,550000,2691480.139013831,103518.46688514735,0,0,0,65993.02263928144,0,-16498.25565982036
2052,1,4,2.5,0,550000,2799139.3445743844,107659.20556055324,0,0,0,68632.74354485268,0,-17158.18588621317
2053,1,4,2.5,0,550000,2911104.9183573597,111965.57378297538,0,0,0,71378.05328664678,0,-17844.513321661696
2054,1,4,2.5,0,550000,3027549.115091654,116444.1967342944,0,0,0,74233.17541811267,0,-18558.29385452817
2055,1,4,2.5,0,550000,3148651.07969532,121101.96460366616,0,0,0,77202.50243483718,0,-19300.625608709295
2056,1,4,2.5,0,550000,3274597.122883133,125946.04318781281,0,0,0,80290.60253223067,0,-20072.650633057667
2057,1,4,2.5,0,550000,3405581.0077984584,130983.88491532532,0,0,0,83502.22663351988,0,-20875.55665837997
2058,1,4,2.5,0,550000,3541804.248110397,136223.24031193834,0,0,0,86842.3156988607,0,-21710.578924715173
2059,1,4,2.5,0,550000,3683476.4180348124,141672.16992441588,0,0,0,90316.0083268151,0,-22579.002081703777
2060,1,4,2.5,0,550000,3830815.474756205,147339.0567213925,0,0,0,93928.64865988772,0,-23482.16216497193
2061,1,4,2.5,0,550000,3984048.093746453,153232.61899024821,0,0,0,97685.79460628323,0,-24421.44865157081
2062,1,4,2.5,0,550000,4143410.017496311,159361.92374985814,0,0,0,101593.22639053455,0,-25398.306597633637
2063,1,4,2.5,0,550000,4309146.418196163,165736.40069985244,0,0,0,105656.95544615593,0,-26414.238861538983
2064,1,4,2.5,0,550000,4481512.27492401,172365.85672784652,0,0,0,109883.23366400218,0,-27470.808416000546
2065,1,4,2.5,0,550000,4660772.765920971,179260.4909969604,0,0,0,114278.56301056225,0,-28569.640752640564
2066,1,4,2.5,0,550000,4847203.676557809,186430.91063683882,0,0,0,118849.70553098473,0,-29712.426382746184
2067,1,4,2.5,0,550000,5041091.823620122,193888.14706231238,0,0,0,123603.69375222415,0,-30900.923438056037
2068,1,4,2.5,0,550000,5242735.496564927,201643.6729448049,0,0,0,128547.84150231311,0,-32136.960375578277
2069,1,4,2.5,0,550000,5452444.916427524,209709.41986259707,0,0,0,133689.75516240564,0,-33422.43879060141
2070,1,4,2.5,0,550000,5670542.713084625,218097.79665710096,0,0,0,139037.34536890185,0,-34759.33634222546
2071,1,4,2.5,0,550000,5897364.42160801,226821.708523385,0,0,0,144598.83918365795,0,-36149.70979591449
2072,1,4,2.5,0,550000,6133258.998472331,235894.5768643204,0,0,0,150382.79275100428,0,-37595.69818775107
2073,1,4,2.5,0,550000,6378589.358411225,245330.35993889323,0,0,0,156398.10446104445,0,-39099.52611526111
2074,1,4,2.5,0,550000,6633732.932747673,255143.57433644898,0,0,0,162654.02863948623,0,-40663.50715987156
2075,1,4,2.5,0,550000,6899082.25005758,265349.31730990694,0,0,0,169160.18978506565,0,-42290.04744626641
