index,FX,GrowthPct,IncomePct,ExpensePct,BaseValue,MarketValue,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - BC Holding,Bank Fees,Tax
2024,NaN,0,0,0,0,0,0,0,0,0,0,0,0
2025,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2026,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2027,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2028,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2029,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2030,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2031,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2032,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2033,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2034,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2035,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2036,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2037,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2038,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2039,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2040,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2041,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2042,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2043,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2044,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2045,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2046,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2047,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2048,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2049,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2050,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2051,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2052,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2053,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2054,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2055,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2056,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2057,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2058,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2059,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2060,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2061,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2062,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2063,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2064,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2065,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2066,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2067,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2068,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2069,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2070,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2071,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2072,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2073,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2074,3.8,0,0,0,0,0,0,0,0,0,0,0,0
2075,3.8,0,0,0,0,0,0,0,0,0,0,0,0
