index,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
Bank Accounts,0,0,0,0,0,0,0,0,0,0,0,0,0
Transfer - Bank,0,0,0,0,0,0,0,0,0,0,0,0,0
PL Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
PL - Properties,61662.925782502534,61875,61256.25,60643.6875,60037.250625,59436.87811875,58842.5093375625,58254.08424418687,57671.543401745,57094.82796772755,56523.87968805027,55958.640891169765,55399.05448225807
Fidelity Stock,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Income - BC Holding,0,0,0,0,0,0,0,0,0,0,0,0,0
Option Trade,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Income - Dividend,0,0,0,0,0,0,0,0,0,0,0,0,0
Bank Fees,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxes US,0,0,0,0,0,0,0,0,0,0,0,0,0
