index,FX,GrowthPct,IncomePct,ExpensePct,BaseValue,MarketValue,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - UB Dividend,Bank Fees,Tax
2024,4.0543000000000005,0,0,0,1000000,30425000,0,0,0,0,0,0,0
2025,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2026,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2027,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2028,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2029,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2030,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2031,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2032,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2033,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2034,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2035,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2036,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2037,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2038,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2039,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2040,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2041,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2042,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2043,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2044,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2045,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2046,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2047,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2048,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2049,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2050,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2051,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2052,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2053,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2054,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2055,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2056,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2057,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2058,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2059,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2060,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2061,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2062,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2063,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2064,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2065,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2066,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2067,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2068,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2069,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2070,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2071,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2072,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2073,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2074,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
2075,3.8,0,5,0,1000000,30425000,0,0,0,0,1521250,0,-380312.5
