index,2024,2025,2026,2027,2028,2029,2030
Bank Accounts,0,33575.2643459375,36037.78713979473,30115.75713600015,25981.062048489897,1202923.0537627528,0
Transfer - Bank,0,-500,-2000,0,0,1356084.7020431312,0
Fidelity Stock,894778,1004888.3049999999,1125987.1223624998,1224510.9955692186,1310226.765259064,1401942.6388271984,0
SP - Properties,0,0,0,0,0,0,0
PL Investments,0,0,0,0,0,0,0
Rental - Spain,0,0,0,0,0,0,0
Financial Income - Dividend,0,0,0,0,0,0,0
Financial Income - UB Dividend,0,0,0,0,0,0,0
Financial Income - BC Holding,0,0,0,0,0,0,0
Dividends,0,49866.240506250004,55935.47996826562,44071.83971121973,38021.06641242424,40682.54106129394,0
Property - Other,0,0,0,0,0,0,0
Interest Expense,0,0,0,0,0,0,0
Bank Fees,0,-3324.41603375,-3729.031997884375,-2938.122647414648,-2534.7377608282827,-2712.1694040862626,0
Taxes US,0,-12466.560126562501,-14168.660830586514,-11017.959927804932,-9505.26660310606,-191132.01993758618,0
