index,2024,2025,2026,2027,2028,2029,2030
Bank Accounts,0,-13888.888888888889,0,0,0,0,0
Transfer - Bank,0,-13888.888888888889,0,0,0,0,0
Fidelity Stock,0,0,0,0,0,0,0
SP - Properties,0,0,0,0,0,0,0
PL Investments,0,13888.888888888889,13888.888888888889,13888.888888888889,12500,12500,12500
Rental - Spain,0,0,0,0,0,0,0
Financial Income - Dividend,0,0,0,0,0,0,0
Financial Income - UB Dividend,0,0,0,0,0,0,0
Financial Income - BC Holding,0,0,0,0,0,0,0
Dividends,0,0,0,0,0,0,0
Property - Other,0,0,0,0,0,0,0
Interest Expense,0,0,0,0,0,0,0
Bank Fees,0,0,0,0,0,0,0
Taxes US,0,0,0,0,0,0,0
