index,2024,2025,2026,2027,2028,2029,2030
Bank Accounts,0,-67268.05555555555,-69622.4375,421431.6032986111,0,0,0
Transfer - Bank,0,0,0,482051.25,0,0,0
PL Investments,0,0,0,0,0,0,0
SP - Properties,420720.4838285564,460000,476100,488002.5,0,0,0
Fidelity Stock,0,0,0,0,0,0,0
Dividends,0,0,0,0,0,0,0
Rental - Spain,0,15827.777777777777,16381.75,12051.28125,0,0,0
Financial Income - UB Dividend,0,0,0,0,0,0,0
Financial Income - BC Holding,0,0,0,0,0,0,0
Financial Income - Dividend,0,0,0,0,0,0,0
Bank Fees,0,0,0,0,0,0,0
Property - Other,0,-79138.88888888889,-81908.75,-60256.40625,0,0,0
Interest Expense,0,0,0,0,0,0,0
Taxes US,0,-3956.9444444444443,-4095.4375,-12414.521701388887,0,0,0
