index,2024,2025,2026,2027,2028,2029,2030
Bank Accounts,0,1501738.9227430555,1547070.2074178886,1142707.8111756726,841344.566092961,7369878.542108446,0
Transfer - Bank,0,-138.88888888888889,-5555.555555555556,-138.88888888888889,0,8598912.398946093,0
Fidelity Stock,0,0,0,0,0,0,0
SP - Properties,0,0,0,0,0,0,0
PL Investments,7393861.333203724,8747326.388888888,9047927.256944444,9274264.327256944,8513774.652421875,8684050.145470312,0
Financial Income - UB Dividend,0,1504887.5868055555,1557084.6940104167,1145136.9740125868,843030.6273476563,859891.2398946093,0
Financial Income - BC Holding,0,0,0,0,0,0,0
Financial Income - Dividend,0,0,0,0,0,0,0
Dividends,0,0,0,0,0,0,0
Rental - Spain,0,0,0,0,0,0,0
Bank Fees,0,-3009.775173611111,-3114.169388020833,-2290.273948025174,-1686.0612546953128,-1719.7824797892185,0
Property - Other,0,0,0,0,0,0,0
Interest Expense,0,0,0,0,0,0,0
Tax Reserve,0,0,-1344.761648951818,0,0,-2087205.3142524667,0
